date,news_text
2014/1/1,RT @philstockworld: Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies --
2014/1/1,RT @philstockworld: Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies --
2014/1/1,iTV Will Boost Apple
2014/1/1,"#iPhone users are more intelligent than #Samsung, #BlackBerry and HTC owners, $AAPL $BBRY,"
2014/1/1,RT @philstockworld: Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies --
2014/1/1,2013 Wrap-Up And Trading Set Review - Part III
2014/1/1,Apple Screwed Up Big Time
2014/1/1,RT @philstockworld: Summary of Yesterday's Webcast Featuring $AAPL $WYNN $GOOG $LGF #TraderEducation #Options #HedgingStrategies --
2014/1/2,$AAPL - Wall St. kicks off New Year on lower note -&gt;
2014/1/2,RT @StockTwits: Here's how Apple could be making a huge push into healthcare --&gt;
2014/1/2,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/2,"@DrPaulyDeSantis 

$AAPL having breathing difficulties"
2014/1/2,Emylers: Cheeky's Board!: $AAPL Up to date company activities and other impo
2014/1/2,$AAPL BlackBerry and singer Alicia Keys to part ways
2014/1/2,$AAPL - Chinas Xiaomi says to more than double smartphone sales in 2014 -&gt;
2014/1/2,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/2,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/2,What are your top picks for Q1 2014? Here are mine: $AAPL $CREE $FB $CLDX $SNE
2014/1/2,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/2,$AAPL US STOCKS-Wall St kicks off New Year on lower note
2014/1/2,RT @FortuneMagazine: Apple gained 8% in 2013 vs S&amp;P's 30% but don't cry for $AAPL investors. At least not the long term ones.
2014/1/2,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/2,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/2,$AAPL - Apple Will Be The Main Victim Of Microsoft And Google Cutthroat Smartp... -&gt;
2014/1/2,"New Education: Supply/Demand Zones, Accumulation/Distribution, &amp; Price Patterns"
2014/1/2,"I bought a new TV this year. Would probably have been a $AAPL TV if they made one, competition didn't seem to be very strong."
2014/1/2,"$AAPL [video] Apple Denies Working With NSA, and More"
2014/1/2,$AAPL Cleaning the Mobile Germ Warehouse
2014/1/2,$AAPL Kara Swisher and Walt Mossberg launch Re/code
2014/1/2,$AAPL Let's not let the WF downgrade overshadow Cantor's 2014 top large cap pick with a $777 price target.
2014/1/2,Will 2014 be Apple's "year of innovation" (
2014/1/2,$AAPL - Pre-Market: Apple Downgraded on Margin Concerns; Stocks to Start 2014 ... -&gt;
2014/1/2,Big Tuna's Stocks - $AAPL Daily Chart ~ Range is Getting
2014/1/2,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/2,"$AAPL The Zacks Analyst Blog Highlights: Apple, Nokia,"
2014/1/2,"RT @MW_AAPL: Apple slips, Urban Outfitters up on analyst call"
2014/1/2,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/2,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/2,$AAPL How Is Tim Cook Doing Taking Over From The Legendary Steve Jobs?
2014/1/2,This weeks $AAPL 550 puts are already up a dollar today.
2014/1/2,"Thursday headlines include news on $CPB, $NYT, $AAPL, $WMT and $NFLX"
2014/1/3,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/3,"The Five-Year-Old iPad: When Will People Stop Upgrading?
$AAPL ???#aapl"
2014/1/3,"$AAPL was below this level two weeks ago, and then jumped to 570 the following week (CHL news). Earnings run up will be next catalyst."
2014/1/3,$AAPL Apple Sale: Best Buy Temporarily Cuts iPhone 5S Price
2014/1/3,RT @takingstock614: Also added $AAPL common here w 541 stop
2014/1/3,RT @SAI: GOOGLE'S DIRTY SECRET: Android Phones Are Basically Used As Dumbphones $AAPL $GOOG by @Jim_Edwards
2014/1/3,$BBRY $AAPL BlackBerry files suit against Typo: Full Story
2014/1/3,RT @2kaykim: hmm not so much for $AAPL .. we got this double top threat goin on here..
2014/1/3,RT @LouisvilleWhale: @Trimmer3098 What I like about $AAPL long term is its ~9.5 PE ex-cash gives it a floor on valuation. Only hi quality s…
2014/1/3,$AAPL is soooo pathetic. One has to wonder if iCahn is selling. 544 must hold.
2014/1/3,RT @nanexllc: 50% of trades in $AAPL today are for less than 100 shares #oddlots
2014/1/3,the good support for $AAPL today is 541.02
2014/1/3,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/3,"Bloggers trading $AAPL stupid again
#NSA ‘malicious hackers’ &amp; then?
Before it becomes farce
Maybe next try to parse
What ‘any’ means &amp; when"
2014/1/3,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/3,$AAPL new lows.. still holding half lotto 542.50 puts
2014/1/3,"RT @philstockworld: Our Top 3 Trade Ideas for 2014 and Two $1,000 Futures Wins Already in the Bank $GLD $USO $AAPL --"
2014/1/3,Best position Today:  $GLD  (non-core long)   Worst - $AAPL (core-long)   #FVAM  #stockaction
2014/1/3,Overall market VIX is down .35% where as $AAPL IV is up 3.72%. If this is not a pre-event shake-down then there is no more trading for me...
2014/1/3,$AAPL BlackBerry sues Ryan Seacrest's company over iPhone keyboard
2014/1/3,$AAPL - Online Retail Sales Up in Q4 -&gt;
2014/1/4,$AAPL - Boeing contract with machinists - details of agreement -&gt;
2014/1/4,ClayTrader: * * $AAPL Video Chart 1/3/14 * *: ClayTrader
2014/1/4,"RT @ValaAfshar: January 3, 1977 – Steve Jobs and Steve Wozniak incorporated Apple Computer Company. $AAPL"
2014/1/4,Apple iWatch reportedly already in production
